               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11181,             0.01978,            0.061318,           0.0021155,             0.57758,           0.0034014,           0.0010187,            0.083025,           0.0087157,            0.049947,              0.0892,              0.0012,              0.0012
                   1,            0.083266,            0.025052,            0.058043,           0.0030759,             0.89109,             0.09111,            0.051319,            0.059695,           0.0096529,             0.04481,            0.077475,           0.0024753,           0.0024753
                   2,             0.06487,            0.024891,             0.05044,             0.32679,             0.29725,             0.25535,             0.11146,            0.043431,            0.011319,            0.042042,            0.065725,           0.0037248,           0.0037248
                   3,            0.056275,            0.022718,            0.047459,             0.33717,             0.43117,              0.3369,             0.16209,            0.041828,             0.01065,            0.039014,            0.053949,           0.0049485,           0.0049485
                   4,            0.052404,            0.021988,            0.044647,             0.36446,             0.39678,             0.38846,             0.21624,            0.041117,           0.0077848,            0.034947,            0.042147,           0.0061466,           0.0061466
                   5,            0.053418,            0.023399,            0.042922,             0.42401,             0.47671,             0.37657,              0.1821,            0.050019,           0.0071209,            0.030333,            0.030319,           0.0073188,           0.0073188
                   6,            0.053713,            0.022244,            0.039846,             0.64329,             0.42783,             0.51096,             0.23954,            0.042588,           0.0066294,            0.026517,            0.018465,           0.0084654,           0.0084654
                   7,             0.05101,            0.020278,            0.034001,             0.59438,             0.57143,             0.64849,             0.37572,            0.043817,           0.0077316,             0.02325,            0.009307,            0.009307,            0.009307
                   8,            0.049777,            0.021148,            0.031332,             0.64965,             0.47247,             0.48219,             0.27519,            0.039985,           0.0076203,            0.024226,            0.009307,            0.009307,            0.009307
                   9,            0.045918,            0.019183,            0.025267,             0.57481,             0.61381,             0.60288,             0.34418,            0.035262,           0.0070173,            0.015491,            0.009208,            0.009208,            0.009208
                  10,            0.046218,            0.018802,            0.024081,             0.60395,              0.6917,             0.61325,             0.37444,            0.031715,           0.0061623,            0.013829,            0.009109,            0.009109,            0.009109
                  11,            0.045859,            0.019637,            0.022385,             0.66418,              0.6879,              0.7537,             0.41525,            0.032747,           0.0060663,            0.013027,             0.00901,             0.00901,             0.00901
                  12,            0.041844,            0.017574,            0.021056,             0.63885,             0.68919,             0.75902,              0.3815,            0.029944,           0.0060414,            0.012232,            0.008911,            0.008911,            0.008911
                  13,            0.039783,            0.018458,            0.019424,             0.65579,             0.56444,             0.55783,             0.30947,            0.035149,           0.0060703,            0.031175,            0.008812,            0.008812,            0.008812
                  14,             0.04479,            0.018487,            0.020951,             0.83633,             0.49763,             0.70022,             0.39514,            0.032123,           0.0068532,            0.024252,            0.008713,            0.008713,            0.008713
                  15,            0.042786,            0.019205,            0.018814,             0.73867,             0.52757,             0.57833,             0.30609,            0.031007,            0.007479,            0.032622,            0.008614,            0.008614,            0.008614
                  16,            0.039807,            0.017581,            0.019142,             0.80877,             0.67262,             0.74149,             0.43326,            0.032929,           0.0055953,            0.014208,            0.008515,            0.008515,            0.008515
